no,bagian,pertanyaan,opsi,jawaban
1,A,"Nama brand induk final: ""Cuda"" — atau ada alternatif?",Cuda | Masbraw Cuda | lainnya (sebutkan),
2,A,"Nama dua produk: ""Cuda AI"" & ""Cuda Agent"" — fix atau mau ganti?",fix | ganti (sebutkan),
3,A,"Tagline landing: ""Cuda AI buat mikir. Cuda Agent buat ngerjain."" — oke atau mau versi lain?",oke | ganti (sebutkan),
4,A,Domain yang mau dipakai (mis. cuda.my.id / cudai.app)? Sudah punya domain apa saja?,,
5,A,"Logo: monogram huruf C (rounded-square/hexagon), atau mau dibikin dari nol dengan konsep lain?",monogram C | bikin baru,
6,A,Accent dua room: biru #4f8cff (AI) + violet #8b5cf6 (Agent) — setuju?,setuju | satu warna aja | ganti (sebutkan),
7,A,"Bahasa UI default: Indonesia, Inggris, atau dua-duanya (switch)?",Indonesia | Inggris | dua-duanya,
8,A,Istilah Indonesia (Misi/Langkah/Izin/Struk/Serahan) dipertahankan atau campur Inggris?,Indonesia | campur | Inggris,
9,A,"Agent kalau ""ngomong"" pakai nama siapa?",Cuda | nama lain (sebutkan) | tanpa nama,
10,A,Perlu maskot/karakter visual?,tidak | ya (konsepnya),
11,A,"Cuda jadi bagian keluarga brand Masbraw/ZieDev, atau brand berdiri sendiri?",keluarga Masbraw | berdiri sendiri | ZieDev,
12,A,"Credit/footer: ""Cuda by ..."" mau ditulis apa?",,
13,B,"User utama v1: kamu sendiri, teman kampus, atau publik luas?",kamu sendiri | teman kampus | publik,
14,B,Cuda mau jadi produk komersial (dijual) atau alat pribadi dulu?,komersial | pribadi dulu | dua-duanya,
15,B,Kalau dijual: target pasar utama?,mahasiswa | freelancer | UMKM | developer,
16,B,"Satu kalimat: ""Cuda beda dari ChatGPT karena ____""",,
17,B,Fitur mana yang jadi pembunuh utama (bikin orang pindah ke Cuda)?,,
18,B,Target realistis Cuda AI vs ChatGPT/Gemini/Claude?,,
19,B,Target segmen Cuda Agent vs Manus/Claude Cowork?,,
20,B,"Perlu mode ""lokal/offline"" (data tidak keluar dari device)?",perlu | tidak perlu | nanti,
21,B,"Ada kebutuhan privasi khusus (data kampus, data klien)?",,
22,B,Pesaing lokal Indonesia yang perlu diperhatikan?,,
23,B,Cuda mau dipakai untuk jualan jasa (agent-as-a-service)?,ya | tidak | mungkin nanti,
24,B,Target jumlah user 3 bulan pertama?,,
25,B,Perlu halaman pricing publik sejak v1?,ya | tidak | nanti,
26,B,Perlu mode team/kantor (multi-user satu workspace)?,v1 | nanti | tidak perlu,
27,C,"Kerjakan P0–P4 dulu (AI + Agent inti), P5–P7 nyusul — setuju?",setuju | kerjakan semua | potong lagi,
28,C,"Pilih satu: Cuda AI dulu sampai sempurna, atau dua-duanya jalan bareng?",AI dulu | bareng,
29,C,Target kapan MVP harus jadi (tanggal/perkiraan)?,,
30,C,3 fitur WAJIB ada di v1?,,
31,C,Fitur yang boleh ditunda / tidak perlu sama sekali?,,
32,C,Compare mode (2 model jawab bareng) prioritas atau nice-to-have?,prioritas | nice-to-have | tidak perlu,
33,C,Deep Research mode (riset multi-step otomatis) masuk v1?,ya | tidak | nanti,
34,C,Voice input (STT) & read aloud (TTS) masuk v1?,dua-duanya | salah satu | nanti,
35,C,Multi-sesi agent paralel masuk v1?,v1 | nanti,
36,C,Berapa template Playbook yang wajib ada di v1?,3 | 6 | 10+,
37,C,Jadwal/cron misi otomatis masuk v1?,v1 | nanti,
38,C,MCP connector masuk v1 atau v2?,v1 | v2 | tidak perlu,
39,D,Frontend: Next.js 16 atau Nuxt 4?,Next.js 16 | Nuxt 4 | terserah kamu,
40,D,TypeScript strict mode?,ya | tidak,
41,D,"Styling: Tailwind 4 + komponen sendiri, atau pakai UI kit jadi?",Tailwind + komponen sendiri | UI kit (sebutkan),
42,D,ORM: Prisma atau Drizzle?,Prisma | Drizzle | terserah kamu,
43,D,"State management frontend: Zustand, Jotai, atau React Query + context?",Zustand | Jotai | React Query+context | terserah kamu,
44,D,Streaming: chat pakai SSE dan agent pakai WebSocket — setuju?,setuju | semua WebSocket | semua SSE,
45,D,Monorepo: npm workspaces atau pnpm/turborepo?,npm workspaces | pnpm+turbo | terserah kamu,
46,D,Paket packages/ui terpisah atau komponen langsung di apps/web?,terpisah | langsung,
47,D,"Agent runtime: Node/Fastify, atau Python/FastAPI (ekosistem tool lebih kaya)?",Node/Fastify | Python/FastAPI | terserah kamu,
48,D,Validasi event pakai Zod di dua sisi — setuju?,setuju | pakai lain,
49,D,Perlu API publik Cuda (REST / OpenAI-compatible)?,ya | tidak | nanti,
50,D,Perlu multi-tenant sejak awal (untuk dijual nanti)?,ya | tidak | nanti,
51,D,Perlu framework i18n atau switch bahasa manual?,framework | manual,
52,D,Testing: Vitest + Playwright — oke?,oke | tambah lain,
53,D,Box ini tidak ada Docker. Dev agent-node di VPS atau tetap di box ini?,VPS | box ini | laptop bekas,
54,D,Monorepo Cuda digabung dengan Meridian (pakai gateway-nya) atau berdiri sendiri?,gabung gateway | berdiri sendiri,
55,E,"Web deploy ke Vercel (project baru ""cuda"") atau self-host?",Vercel | self-host VPS | dua-duanya,
56,E,Agent-node jalan di mana?,VPS Linode | STB Armbian | laptop bekas | box ini,
57,E,Kalau STB: sanggup nyala 24/7? Resource masih cukup (sekarang ada AdGuard + bot)?,,
58,E,"TLS/domain: Caddy otomatis, Cloudflare Tunnel permanen, atau pakai domain Vercel?",Caddy | CF Tunnel | domain Vercel,
59,E,"Database produksi: Neon free, Supabase free, atau SQLite di VPS?",Neon | Supabase | SQLite VPS,
60,E,"Storage file (upload + artifact): lokal VPS, Cloudflare R2, atau Supabase Storage?",lokal VPS | R2 | Supabase,
61,E,Backup otomatis ke mana?,GitHub | Google Drive | S3/R2 | tidak perlu,
62,E,Budget infra bulanan yang wajar (Rp)?,,
63,E,"Kalau agent-node down: fallback tampil error, atau Cuda AI tetap jalan penuh?",error saja | AI tetap jalan,
64,E,Perlu queue (Redis/BullMQ) atau cukup in-memory dulu?,in-memory | Redis,
65,E,"Monitoring v1: Sentry, Uptime Kuma, atau cukup log?",Sentry | Uptime Kuma | log saja | gabungan,
66,E,Log retention berapa lama?,7 hari | 30 hari | 90 hari,
67,E,Disk box ini 99% penuh (sisa 2.6GB). Boleh gue bersihkan project lama? mana yang aman dihapus?,,
68,E,Build berat boleh dijalankan di VPS (SSH) biar tidak makan disk box ini?,boleh | jangan | box ini saja,
69,F,Layout default: sidebar terbuka atau collapsed?,terbuka | collapsed,
70,F,Jawaban AI: gaya polos (Claude) atau bubble (ChatGPT)?,polos | bubble | campuran,
71,F,Perlu Projects/Ruang Kerja sejak v1?,ya | tidak | nanti,
72,F,Instruksi permanen per Ruang Kerja (custom instruction) perlu?,perlu | tidak,
73,F,"Organisasi percakapan: folder bertingkat, tag, atau cuma list?",folder | tag | list saja,
74,F,Search percakapan: full-text saja atau + semantik?,full-text | +semantik,
75,F,Perlu pin / arsip / hapus massal?,semua | sebagian (sebutkan),
76,F,"Composer: Enter = kirim, atau Shift+Enter = kirim?",Enter | Shift+Enter | bisa diatur,
77,F,Draft auto-save lintas device?,perlu | tidak,
